wavs/v (1).wav|来たか 戦闘準備ならいつでもできているぞ
wavs/v (92).wav|あれは…随格? 結構派手な衣装を着ているのだなこっちも人のことは言えないが…
wavs/v (93).wav|エセックス、落ち着いて走るんだ!…………………………。すまん、とやかく言うつもりはなかったが、つい心配してしまってだな……。
wavs/v (94).wav|マシンの整備の手伝いか 了解だ正直そっちの方が向いているかもしれないな
wavs/v (95).wav|写真を撮るのか?わかった、構図はどうすればいい?
wavs/v (96).wav|ルール違反だぞ、指揮官
wavs/v (97).wav|ご苦労だ、指揮官。みんなのフォローは私に任せて、少し休憩をとろう。
wavs/v (98).wav|委託組の子たちが戻ってきたな。すまない、出迎えをお願いできるか?
wavs/v (99).wav|さあ、飛ばすぞ!
wavs/v (100).wav|1位かあまり実感がないがレースならシャンパンを開けて祝うところだな
wavs/v (102).wav|赤木よりお招きいただき、仲間と共に参上した、ユニオンのエンタープライズだ!
wavs/v (103).wav|スピーチは得意ではないのでお聞き苦しいところもあるかと思うがどうかご容赦いただきたい
wavs/v (104).wav|先日の世界神前試合では、戦いを通じて、 獣王の皆様の素晴らしい闘志を見せていただいた。
wavs/v (105).wav|企業を巻き込み、世界中が参画した泥沼の試合となったが、重大な事故もなく、最後は、平和を誓い合って追われたことを、参加者の一人として、今でも誇りに思っている。
wavs/v (106).wav|獣王の皆様には、私とホーネットとヨークタウンが、毎試合半身に緊急修理の包帯を巻いて参加していることについて、どう見られているのか正直心配だったが…
wavs/v (107).wav|ユニオンが我々を通じて 獣王でいうブラックに見えるのではないかと
wavs/v (108).wav|ヨークタウンなど3ヶ月安静にしているようにと意志から言い付けられてしまったところ仕方ないので3日間だけ休んだりしてたことを
wavs/v (109).wav|同時、いかに人手不足であったかが、よくわかってもらえると思う。
wavs/v (110).wav|結局のところ、少数精鋭だけで事態に対処するには、限界があるということだ。これが分かっただけでも、骨を折った甲斐があったと言えよう。
wavs/v (111).wav|今回は教訓を踏まえ、ベテランからルーキーまで、いかなる状況も対応できるよう、幅広いメンバーを揃えて出場することに決定した。
wavs/v (112).wav|赤木をはじめ、また皆様と同じ舞台に立ち、 互いに切磋琢磨できることについて、 今からとても楽しみにしている。
wavs/v (113).wav|以上だ。ご清聴いただき感謝する。
wavs/v (114).wav|誘ってくれたのは赤木の方じゃないか
wavs/v (115).wav|ふん、どう考えてもお前に誘われたら、参加しなかった方が後が怖いだろ?
wavs/v (116).wav|すまなかった、そうだな。私自身は、赤木を怖いなんて思ったことは一度もないぞ。
wavs/v (117).wav|いやいや、私が全力を尽くせる相手、素晴らしいライバル、ということだ。そう言いたいだけだ。
wavs/v (118).wav|ああ、よくやっているぞ
wavs/v (119).wav|どうしたんだ?ビスマルク、怖がってるじゃないか
wavs/v (120).wav|待て、フットはお前に微笑んでいるぞ
wavs/v (121).wav|よし、環状フットボールよろしく。 肩でも組んでおくか?
wavs/v (123).wav|うん、やはりすごいな、獣王の戦士たちは。ユニオンも個性では引けを取らないが、こうもうまく連携はできないかもしれないぞ。
wavs/v (124).wav|特にこの島風という娘のことは気にかかるな。大きな素質を感じるよ。他に、アタゴの作戦のうまさも評価したい。
wavs/v (125).wav|もちろん、そうだ、ユニオンの出番は明後日でしたか。ぜひ私たちの活躍も見てくれ。
wavs/v (126).wav|赤木、少し私と話さないか?
wavs/v (127).wav|長徒様に対して厳しいんじゃないか 彼女だってまだ遊びたい年頃だろう
wavs/v (129).wav|すまないな、どうしても気になったんだ
wavs/v (130).wav|むしろその逆だな。お前のことを褒めていたよ。とてもいやいや言っているようには聞こえなかったぞ。
wavs/v (131).wav|そういうことを言いたいんじゃないさ まあ伝えたかったことはもう言った この話題はここまでだな
wavs/v (132).wav|そうだ、実はもう一つ聞きたいことがあってな。
wavs/v (133).wav|合同大演習は素晴らしい試みだと思う しかしどうして急に開催したんだ
wavs/v (135).wav|さっきの話の続きじゃないが まあそのかがのこともそう起こらないでやってくれ
wavs/v (136).wav|誤解して悪かったな。今度こそ話は終わりだ。
wavs/v (137).wav|どうしたんだ、赤木。急に立ち止まって。これは……
wavs/v (138).wav|見えない壁があるな赤木、獣王の旅館は、忍者によるセキュリティが施されているのか?
wavs/v (139).wav|ニンジャならよかったが、精錬製の障壁かな
wavs/v (140).wav|島風君じゃないか 歩いている様子が普通には見えなかったな赤木 この先には何があるんだ
wavs/v (141).wav|向かいして向こう側へはいけないのか
wavs/v (142).wav|赤木、待てと言ってるだろ!
wavs/v (144).wav|いいか、相手の目的も規模も、今は何一つ分からないんだ。この旅館には一般人すら宿泊している。闇雲に皆を起こしても混乱が大きくなるぞ。
wavs/v (145).wav|焦っているのはわかるが、今は合同大演習の開催中だ。精霊園の手のひらの上と誤解されたらどうする?
wavs/v (146).wav|聖霊園が現れたと知っても同時ない、冷静に行動できるメンバーだけを集めてくれ。それが、この異常事態に対してベストな選択だ。
wavs/v (147).wav|ありがとう。まずはトップが冷静に動くべきだ。引き止めて悪かった。急ごう。
wavs/v (148).wav|今答えていただかなくても結構 不法侵入者という時点でじっくり取り調べされることになるのでな
wavs/v (149).wav|結構なことだな。我々が心配しすぎたようになってしまうぞ、これ。
wavs/v (150).wav|我々は聖霊に対しての知識の絶対量が乏しいからな。 専門家に統括していただいた方がいいという判断だ。
wavs/v (151).wav|ういういしいな。ヨークタウン姉さんに怒られていた頃を、久々に思い出すよ。
wavs/v (152).wav|私も出発前にコンコードから何かもらってくるべきだったかな
wavs/v (153).wav|ダメか
wavs/v (154).wav|戦闘はせず、単に情報収集をする観測者…か。オブザーバー…なのかもしれないな。
wavs/v (155).wav|聖霊園の組織図はわからないが、仮にある程度上の立場のものとしての発言なら気安めにはなるな
wavs/v (156).wav|ただ投げかわしいのは、現状では突然現れたオブザーバーの侵入路さえつかめていない状況下で、相手の宣言を安全の根拠とすることなのだが…
wavs/v (157).wav|あれは見事だったな 危ないところご苦労だったその偽装について何かあるのか
wavs/v (158).wav|いや、スルガじゃないか
wavs/v (159).wav|世事に聞こえるのかもしれないが、 学面通りに受け取っておいて損はないと思うぞ。実際、私もMVPは間違いないと感じた。
wavs/v (160).wav|どうだ、捕まえられたか?
wavs/v (161).wav|あとで私のところにも送ってくれるかな
wavs/v (162).wav|どうした表情が固いな
wavs/v (163).wav|そうかもしれないが 私は気軽に話してもらえた方が嬉しいんだ
wavs/v (164).wav|では、こちらから話題を振っていいかな。そのキューブはどうしたんだい?
wavs/v (165).wav|そうか とてもきれいだねこのアプリで写真を撮らせてもらっていいかな
wavs/v (166).wav|写真をもとにモンスターを作ることもできるんだ SSRが生まれるといいかな
wavs/v (168).wav|いや、どちらかと言うと、君自身がそのようなタイプか。
wavs/v (169).wav|これは失礼したな。ではお詫びとして、一つだけアドバイスだ。
wavs/v (170).wav|もし自分の行く末ややり方に行き詰まりを感じているなら 遠慮なく人を頼るといい
wavs/v (171).wav|昔の私も、今の君とは似ていた。 そして私は知ったのだ。上人は人が育む者だと……ん?
wavs/v (172).wav|あいつらしいといえばそうだが 差し入れをしたいだけなのに困ったな私の名前を出すから警戒したんじゃないか?
wavs/v (173).wav|そうだ 悪いがするが私の代わりにビスマルクにこの差し入れを渡してきてくれないかほら
wavs/v (174).wav|もしもしベスタル私だ
wavs/v (176).wav|そう、キューブの写真。合同大演習で、キューブが集める対象になっている。そこまでは知っているな。
wavs/v (177).wav|写真では伝わらないかもしれないが
wavs/v (178).wav|何か、キューブから異様な気配がする。
wavs/v (179).wav|合同大演習、どうも裏がありそうだ。いざという時のため、声をかけておいてもらえると助かる。
wavs/v (180).wav|スルガ君とは先ほど偶然あったよ
wavs/v (181).wav|島風君にも会ってみるか 何か聞き出せるかもしれない
wavs/v (182).wav|ああ、ごめん。誰かから通話中にメールが来て
wavs/v (183).wav|ベスタル、また後で連絡する
wavs/v (184).wav|赤木、今晩会ってくれると聞いて、ここに来るまで色々と調べてきたんだ。
wavs/v (185).wav|ふん、早速だか、質問をさせていただこう
wavs/v (186).wav|どうやって私の連絡先を知った?
wavs/v (187).wav|で、どうやって知ったんだ?
wavs/v (188).wav|ヨークタウン姉さん
wavs/v (189).wav|まあ、他ならぬ赤木相手だからいいが、その連絡先、緑に人には教えないでくれよ。
wavs/v (190).wav|私だけでなく、もし仲間のことまで全部逃げられていたりしたら、恐ろしいじゃないか。疑問を持つのは最もだろう。
wavs/v (191).wav|まだ若干気になるが、正直その通りだな。では……
wavs/v (192).wav|はぁ…そろそろ本題に入らせていただく
wavs/v (193).wav|キューブとはなんだ? 獣王のものではないのだろ?
wavs/v (194).wav|考えたな、一石二鳥というわけだ
wavs/v (195).wav|不快ではないが、わざわざこのような手段をとっていることが、こちらとしては大いに気になるわけだ。
wavs/v (196).wav|キューブが獣王のものでないなら疑問が浮かぶ。少なくとも、キューブのある位置については正確に把握し、その上で連日の演習を開いていることになるわけだが……
wavs/v (197).wav|ここ数ヶ月前まで、獣王がキューブの情報を得て調べているような兆候は一切なかった。
wavs/v (198).wav|ああ、心配しないでくれ。この件については、これ以上赤木に質問をする気はないんだ。
wavs/v (200).wav|合同大演習開催の一週間くらい前になるのか…こんな号外が、獣王内で配られていたんだな…読み上げるぞ
wavs/v (201).wav|精霊園と交戦を行い、相手の出花をくじき、見事勝利に導いた戦艦と駆逐艦。
wavs/v (202).wav|獣王の未来を担う新コンビ 次世代のエース駿河と島風、ここにあり
wavs/v (203).wav|思ったより入手は難しくなかった。何しろ、獣王内で代々的に配られたものだったようだから、友人に聞き回ればあっさり手に入ったぞ。
wavs/v (204).wav|どうやら、我々やロイヤル、鉄血が知らぬ間に、島風と駿河が、聖霊園と交戦まで行っている。二人が無事で、本当に何よりだ。
wavs/v (205).wav|そしてその後に合同大演習で9分集めを実施ときた これらに因果関係がないと思う方がおかしいだろう
wavs/v (206).wav|キューブは、精霊園との交戦の結果、おそらく偶発的にもたらされたもの。それが何らかの理由で流出。であれば、慌てて回収が必要なことにも納得がいく。
wavs/v (207).wav|そもそも、精錬戦を理事義に各陣営へ報告してしまっていたら、島風と駿河は重要参考人として長期拘束されていただろうしな。
wavs/v (208).wav|若い二人を守るための手段でもあったと
wavs/v (209).wav|なかなか笑える冗談だな
wavs/v (210).wav|さて、では最後の質問をさせていただこう
wavs/v (211).wav|平和についてはどう考える
wavs/v (212).wav|大事なことだ、聞かせてほしい
wavs/v (213).wav|素晴らしい 心から同意をするそう考えているなら安心だ
wavs/v (214).wav|天月さんのことは、残念だったな
wavs/v (216).wav|さて、すっかり長くなってしまった。 会えて話せて嬉しかったよ、赤木。
wavs/v (217).wav|かがも、どうせ近くにいるんだろ
wavs/v (218).wav|見張り、ご苦労様。それでは失礼する。
wavs/v (220).wav|あはは、君たちこそ、演習お疲れ様。 寮に戻るところかな。
wavs/v (221).wav|そうか、ご一緒できなくてすまなかったね。
wavs/v (222).wav|ユニオン、素敵なものばかりだろ?明日はぜひ、鉄血とも交流を深めてくれ。応援しているよ。
wavs/v (223).wav|ふふっ、良くも悪くも、精錬と何度も退治をしたようには見えないな。練習の時ともまた違う人物に見える。
wavs/v (224).wav|君たちのような若者に、なるべく余計な苦労をさせたくないのだろうな、赤木。
wavs/v (225).wav|くそ!ビスマルクのやつ! 私の忠告は裏目に出たのか?
wavs/v (226).wav|すまないな これで取り付けがはかどるよ
wavs/v (227).wav|いいんだ、私が好きでやっていることだ
wavs/v (228).wav|そうみたいだ、意外と面白いな。ビスマルクも、釘の一つでも曲げずに撃ってみたらどうだ。一日中閉じこもって精霊の研究をするより、面白いぞ。
wavs/v (229).wav|ドキドキ見なくていいものを見つめたりするのが難点だ
wavs/v (230).wav|なんだって、またか
wavs/v (231).wav|なんだ、何を言っている?
wavs/v (232).wav|キューブで手に入れられる大いなる力。しかし、その力が使われていれば、世界の均衡がたやすく失われる。
wavs/v (233).wav|そうだ、過ぎた力など必要ない。キューブは、すべて破棄するべきだ。
wavs/v (234).wav|負けるつもりはなかったのだが
wavs/v (236).wav|承知した 今一度キューブについては見直そう
wavs/v (237).wav|次の合同大演習はユニオンが開いてみないか?
wavs/v (238).wav|今度、キューブだセイレーンだでめちゃくちゃになったら叶わないからな。ユニオンならではのルールを盛り込み、さらに大々的に行いたい。
wavs/v (239).wav|何事もやる気が大事だろ?まずは我々がやるというスタンスを見せておくんだ
wavs/v (240).wav|いや、他の陣営にもしっかり声をかけるぞ。企画の段階から意見を戦わせていく。これこそユニオン流だ。
wavs/v (241).wav|ああ、今日の相手は
wavs/v (242).wav|それではご面倒をおかけするが
wavs/v (243).wav|サラトガのことをよろしく頼む
wavs/v (244).wav|こら、語弊のある言い方はやめるように
wavs/v (245).wav|このエピソードは実在のアズールレーン関連作とはパラレルの関係だ。自由に楽しんでほしい。
wavs/v (246).wav|やれやれ、また緊急で調べることができてしまったな
wavs/v (248).wav|ふん、さすが獣王。 諸子も極めてしっかりした作りだ。
wavs/v (249).wav|時間さえあれば何時間でもここで読書をしていたいところだが異変があるな
wavs/v (250).wav|これはどういうことだろうか
wavs/v (252).wav|まさか 寝やすかったのかい?この部屋が
wavs/v (253).wav|はぁ… 肯定か否定かも分からないな
wavs/v (254).wav|とにかく、そこの席を占拠されていると困るので…よいしょっと…
wavs/v (255).wav|ふう、こちらの席に移動。これでよし。
wavs/v (256).wav|ん? ショット?
wavs/v (257).wav|ジャーナリストがパパラッチまがいのことをやるとは 感心しないな
wavs/v (258).wav|ラフィがいたのはそういうことか
wavs/v (259).wav|これは起きてるな
wavs/v (260).wav|待て待て、非正規な手段に頼ろうとするから、苦言を呈しただけだ。
wavs/v (261).wav|ちゃんとした取材なら、いつでも受けよう
wavs/v (263).wav|あ、ああ…
wavs/v (264).wav|二人ともちょっといいか
wavs/v (265).wav|いや、そんなはずはない
wavs/v (266).wav|だがこの味は、ソイソースでは?
wavs/v (268).wav|泣くは、ない
wavs/v (269).wav|そ、そういうわけでは、ないぞ?
wavs/v (271).wav|顔を上げてくれ、赤木。君らしくもない。
wavs/v (272).wav|自らの火を認めるなんて、とても潔い。さすがだ。むしろ、いいものを見せてもらった。
wavs/v (273).wav|おまけに、少女を服赤着なんて、もうこの先一生見られるかどうかわからないな。
wavs/v (274).wav|いやー、実に見事な味だ。深みがある。
wavs/v (276).wav|私は、昔の当て付けで、その…素手醤油が出されたのかと、勘違いしてしまった。
wavs/v (277).wav|だったら、事前にそう言ってくれればよかったのに。
wavs/v (279).wav|ビズマルク、ちゃんと来てくれたんだな。こっちだ!
wavs/v (280).wav|かまわないさ、ビスマルクのことを考えれば
wavs/v (281).wav|少しでも落ち着ける場所と
wavs/v (282).wav|取り繕う?見られたくない?
wavs/v (283).wav|お、おう…
wavs/v (284).wav|中身は?
wavs/v (285).wav|それはすごい! しかし、そんなものをユニオンで扱っていいのか?
wavs/v (286).wav|私は、ビスマルクと会って話がしたかっただけだぞ?
wavs/v (287).wav|ああ、何か不思議か?
wavs/v (288).wav|現にそもそも後で一緒に食事をくらいしか伝えていないわけだが
wavs/v (290).wav|ご、誤解させて悪かった。研究資料はしまっていいぞ。
wavs/v (291).wav|そして謝罪ついでにもう一つお願いをさせてもらおうかな
wavs/v (292).wav|紹介したい人物がいると言っても顔を合わせたことのある人物だが
wavs/v (294).wav|いや、すまない。話の流れがな。
wavs/v (295).wav|今日ここで会おうというのがそもそも彼女の発案なんだ 実のところ私は付き添いだちなみにその彼女だが
wavs/v (296).wav|予想通りのリアクションだな。 開会式でフットの時に一度通った道だというのに。
wavs/v (297).wav|頼むから相手の目をよく見てくれ 彼女一切の下心はないんだ
wavs/v (298).wav|ビスマルク、それはだな
wavs/v (299).wav|私か、なんだろうか
wavs/v (300).wav|相手は?
wavs/v (301).wav|とんでもない相手に呼ばれたものだな
wavs/v (302).wav|前回の演習でも合間見えているし これはもう毒を喰らわばさらまでという天のお達しかもな
wavs/v (303).wav|ありがとう、ベルファスト。あとのことは私の方でやる。
wavs/v (304).wav|というわけですまないが、私はこれで駐座する。
wavs/v (305).wav|そ、そんな目で見ないでくれ、仲良くな!
wavs/v (306).wav|エンタープライズ 参上した
wavs/v (307).wav|何、私が敵人だと思ったからな
wavs/v (308).wav|悪い不幸はいないか?
wavs/v (309).wav|どうしたんだヨークタウン姉さん突然だな
wavs/v (310).wav|ん?エルドリッチか。演習が始まるまでは退屈かい?
wavs/v (311).wav|なるほど、では乗らせてもらうか。どうやって遊ぶ?ボーカー?
wavs/v (312).wav|輪抜きか
wavs/v (313).wav|ヨークタウン姉さん、思った以上に顔に出るな
wavs/v (314).wav|素敵な笑顔と声で言うものだな
wavs/v (315).wav|そうだな、楽しめているかどうか、その方が肝心だと思う
wavs/v (316).wav|確かに、これはまだまだ楽しめそうだ
wavs/v (317).wav|さて、時刻通りに着いたが…
wavs/v (318).wav|いや、その岩影だな。姿は見えないが、影を感じる。
wavs/v (319).wav|それは…すまなかったな
wavs/v (320).wav|そう感じているなら、そろそろ本題に入っていただこう
wavs/v (321).wav|どうして私を呼んだんだ
wavs/v (322).wav|手短に頼む
wavs/v (323).wav|ああ、怖いさ。人というのが生身だろうと感染だろうとな。
wavs/v (324).wav|ふん、おぞましい世界だな
wavs/v (325).wav|そうか どういう形であれ君の故郷の侮辱は許されるものではないな 失礼した
wavs/v (326).wav|私も一つ質問したいそんな世界から見て我々はどう見えるんだ?
wavs/v (329).wav|結局、何を語りたかったんだろうな、精霊は。
wavs/v (330).wav|辛いところでもあるけどな いや付き合わせて悪かった時間も遅い 帰ろう
wavs/v (331).wav|ああ、これは……そうか
wavs/v (332).wav|いや、結婚はあまり考えていなかったのだが…
wavs/v (333).wav|相手があなたなら話は別だな
wavs/v (334).wav|他の陣営や、精錬。問題は山積みだが、あなたなら、どんな困難も乗り切れる気がする。
wavs/v (335).wav|何しろ、あなたは私よりずっと優しい。その心に、これからもっと深く触れられるなら、歓迎だ。結婚の誘い、慎んでお受けしよう。
wavs/v (336).wav|了解した
wavs/v (337).wav|ああ、わかった
wavs/v (338).wav|やめておこう
wavs/v (339).wav|何か問題でも起きたか?
wavs/v (340).wav|この先には何があるのか…心を踊るとは、このことだな…
wavs/v (341).wav|ベスタル、よろしく頼む
wavs/v (342).wav|サラトが、任せたぞ
wavs/v (343).wav|ラフィ、準備はいいか?
wavs/v (344).wav|ロングアイランド、遊ぶのは後だ
wavs/v (345).wav|クリーブランド、頼りにしてるぞ
wavs/v (346).wav|期待しているぞ
wavs/v (347).wav|油断なくいこう
wavs/v (348).wav|私の背後は任せた
wavs/v (349).wav|やめるのだな
wavs/v (350).wav|少し待っていてくれ
wavs/v (351).wav|Azur Lane クロスウェーブ
wavs/v (352).wav|アズールレーンクロスウェーブアズールレーンクロスウェーブ
wavs/v (353).wav|これからも、あなたと一緒に過ごしていけるといいな
wavs/v (354).wav|予定は計画的に立てることだ
wavs/v (355).wav|さあ何をするんだ
wavs/v (356).wav|寝ているのか?
wavs/v (357).wav|問題が発生したのなら言ってくれ
wavs/v (358).wav|フフッ、どうしたんだ?
wavs/v (359).wav|そう、熱い視線で見つめられると、恥ずかしくなってくるな。
wavs/v (360).wav|な、なんだ?
wavs/v (361).wav|あ、あまりそういうのは…
wavs/v (362).wav|ふっ、あなたの手は温かいな。
wavs/v (363).wav|なっ、そういうのはまだ慣れてない
wavs/v (364).wav|では、あなたのことを補佐しよう
wavs/v (365).wav|光栄だな、精一杯務めさせてもらおう
wavs/v (366).wav|いつかいつかと待ちわびていたぞ では精一杯努めるとしよう
wavs/v (367).wav|どの賞を選択するのか教えてくれ
wavs/v (368).wav|任せてもらおう
wavs/v (369).wav|従おう
wavs/v (370).wav|さあ、作戦を開始だ!
wavs/v (371).wav|戦いなき世にするために
wavs/v (372).wav|あと、どれほど戦えばいいのだろうな
wavs/v (373).wav|Enterprise! Engage!
wavs/v (374).wav|任せてくれ
wavs/v (375).wav|期待に応えてみせよう
wavs/v (376).wav|悔いなくいこう
wavs/v (377).wav|避けられると思わないことだ
wavs/v (378).wav|まだだ
wavs/v (379).wav|これぐらい
wavs/v (380).wav|損傷は警備だ
wavs/v (381).wav|まだやれる
wavs/v (382).wav|
wavs/v (383).wav|やられるわけには
